ID,Descrição,Avaliação,Observação,Referência,Print,Responsável,Versão/Data-Hora
(#R01)-1,O Rich Picture possui legendas explicando os desenhos e formas?,Conformidade,-,Lista de Verificação Conjunta (p.1),[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),Ana Borges,
(#R01)-2,Os desenhos e palavras do Rich Picture são identificáveis e legíveis?,Conformidade,-,Lista de Verificação Conjunta (p.1),[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Ana Borges, Ana Joyce",
(#R01)-3,Mostra processos/operações e atividades principais?,Conformidade," Para cada ator identificado, determine as operações, processos ou funções que eles executam no contexto do problema. Em complemento, pode ocorrer de operações serem executadas por outra operação. Geralmente, essas operações são representadas por círculos ou ovais com rótulos descritivos. ","Lista de Verificação Conjunta (p.1, 2, 7, 11, 14, 18)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Davi, Fábio, Gabriela, Luiz, Ana Borges, Ana Joyce",
(#R01)-4,"Usa ícones, desenhos, imagens, Palavras-Chave, Balões de pensamento ou metáforas visuais? ",Conformidade,"Para reforçar a comunicação, é inclluso elementos visuais (imagens, desenhos, ícones) e 
palavras-chave que ajudem a contar a “história” do problema de forma clara e 
compreensível há todos que o leem.","Lista de Verificação Conjunta (p.3,7,16)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Davi, Gabriela, Ana Joyce",
(#R01)-5,"Representa os fluxos de 
informação ou recursos? ",Conformidade,"O fluxo de dados é representado com setas que indicam a direção da comunicação entre os elementos do sistema. Utilize setas (com rótulos, se necessário) para mostrar o fluxo de dados ou informações entre atores, operações e depósitos de dados. Isso ajuda a visualizar as relações e interdependências. ","Lista de Verificação Conjunta (p.1, 2, 8,11,15, 18)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Davi, Fábio, Gabriela, Luiz, Ana Borges, Ana Joyce",
(#R01)-6,A fronteira do sistema está clara? ,Conformidade,"Estar claro o que está dentro (sistema) e fora (ambiente externo) da fronteira do sistema.  Essa delimitação 
ajuda a distinguir o que está sob controle da equipe do que está fora dela, o qual pode ser ignorada.","Lista de Verificação Conjunta (p.1,3,8,12,16, 19)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Davi, Fábio, Gabriela, Luiz, Ana Borges, Ana Joyce",
(#R01)-7,Os elementos de armazenamento de dados estão representados? ,Conformidade, É Identificado os depósitos de dados ou fontes de informação necessários para o funcionamento dos processos. Esses elementos costumam ser representados por retângulos ou formas similares.,"Lista de Verificação Conjunta (p.1,2,8,12,15, 18)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Davi, Fábio, Gabriela, Luiz, Ana Borges, Ana Joyce",
(#R01)-8,Todos os atores relevantes estão incluídos?,Conformidade,"É listado e representado graficamente todos os atores (usuários, clientes e grupos) envolvidos no domínio do problema.","Lista de Verificação Conjunta (p.1,2,8,10,14, 18)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Davi, Fábio, Gabriela, Luiz, Ana Borges, Ana Joyce",
(#R01)-9,Há no Rich Picture uma inidcação para diferenciar os atores?,Conformidade,Atores diferentes são de alguma formar diferenciados entre si.,Lista de Verificação Conjunta (p.1),[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),Ana Borges,
(#R01)-10,Evita formalismo excessivo?,Conformidade,O diagrama não deve se parecer com fluxograma técnico.,"Lista de Verificação Conjunta (p.3,7,12)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Fábio, Davi, Ana Joyce",
(#R01)-11,É compreensível para leigos? ,Conformidade,"Mesmo sem conhecimento técnico, a estrutura do Rich Picture permite que qualquer pessoa entenda o funcionamento básico do sistema. Sendo possível analisar os processos de negócio e os dados que eles exigem","Lista de Verificação Conjunta (p.3,7,13,20)",[Lista de Verificação conjunta do RichPicture](/assets/planejamento/LV_RichPicture/LVconjuntaRichPicture.pdf),"Fábio, Davi, Luiz, Ana Joyce",
